"date","ID","consumption","temp","dew_pt","hum","wind_spd","dir","vis","pressure","cond","fog","rain"
2018-09-01,"65014229",0.0401420198566029,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69250492",0.0220056350206619,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"65118805",0.0046090770682099,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"78138095",0.301699475427085,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"4529799",0.0230803686752097,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6940321",0.0641901624553611,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69611360",0.0436382103771962,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6540708",0.018738653929546,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"65118812",0.0144822703164209,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6681894",0.00400230896457288,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6618580",0.0400023360487012,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"5325295",0.0216541756624906,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"5093913",0.011161086637685,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"65063195",0.0356667592592999,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6567326",0.0665084155269255,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"5093998",0.0330623528060414,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6681892",0.0170944880937327,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"65014274",0.0309967717461745,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"65067046",0.0320859665920352,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"7183151",0.194046381756607,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6627261",0.0468111539697134,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"78185925",1.13104952005688,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"7072231",0.0359833634436768,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6790798",0.0441862731481706,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"4529800",0.0221612305593908,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"78443775",0.0234254812517669,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6940322",0.0580836226851602,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6790785",0.0826413370782575,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6842603",0.073181792507512,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69652603",0.0418974976040545,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"78673711",0.0193228432945871,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69999051",0.154435191937608,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6627217",0.019840393518507,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6392172",0.0268355341447659,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69652588",0.00116761826498646,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69688095",0.0338786998162277,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6618578",0.242521180555741,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69861509",0.0186818845419907,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69518080",0.0791485458913712,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69429582",0.417503947419391,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"69580701",0.648468554114515,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
2018-09-01,"6627320",0.0210797987267881,15.4375,13.5625,84.0625,11.24375,"NNW",31.75,1024.6875,"Scattered Clouds","0","0"
